A, JJ,  # Adjetivo,
A', ADJP,  # Sintagma Adjectival [explicar],
AP, ADJP,  # Sintagma Adjectival,
ADJ, JJ,  # Adjectivos,
ADV, RB,  # Advérbios,
ADV', ADVP,  # Sintagma Adverbial,
ADVP, ADVP,  # Sintagma Adverbial,
CARD, CD,  # Cardinais,
CARD', NP,  # Sintagmas Cardinais,
C, IN,  # Complemento (TODO) v,
C', SBAR,  # Sintagma Complemental (TODO) v,
CP, SBAR,  # Sintagma Complemental (TODO) v,
CJ, CC,  # Conjunções [explicar],
CONJ, CC,  # Conjunções,
CONJ', NP,  # sintagma Conjuntivo (TODO),
CONJP, NP,  # sintagma Conjuntivo (TODO),
CL, PRP,  # Clíticos [explicar],
CN, NNS,  # Nomes comuns,
D, DT,  # Artigo,
DA, DT,  # Artigos Definidos,
ART, DT,  # Artigo,
ART', NP,  # Artigo [REVISAR] (TODO) nota, unico caso em que essa tag aparece está errado. o artigo 'Primeiros passos na aquisição da sintaxe,' chama NP de DT. talvez ajude. mas acho que é melhor corrigir essa árvore.
DEM, PRP,  # Demonstrativos,
DFR, CD,  # Denominadores de Fracções,
DGTR, CD,  # Numerais Romanos,
DGT, CD,  # Numerais Árabes,
DM, UH,  # Marcadores Discursivos nota, não aparece em nenhum caso,
EADR, NN,  # Endereços Electrónicos,
EOE, IN,  # Fim de Enumeração,
EXC, UH,  # Exclamação,
GER, VBG,  # Gerúndios,
GERAUX, VBG,  # Gerúndio ter/haver em tempos compostos,
IA	, DT,  # Artigos Indefinidos,
IND, PRP,  # Indefinidos,
INF, VB,  # Infinitivo,
INFAUX, VB,  # Infinitivo ter/haver em tempos compostos,
INT, WP,  # Interrogativos,
ITJ, UH,  # Interjecções,
ITJ', INTJ,  # Interjecções (TODO),
LTR, NN,  # Letras,
MGT, NN,  # Unidade de Medida,
MTH, NNP,  # Meses (TODO) v,
N, NNS,  # Substantivo,
N', NP,  # Sintagmas Nominais,
NP, NP,  # Sintagmas Nominais,
ORD, CD,  # Ordinais,
PADR, NN,  # Parte de Endereço,
PNM, NP,  # Parte de Nome (TODO) v,
PNT, .,  # Pontuação,
POSS, PRP$,  # Possessivos v,
POSS', NP,  # Possessivos (TODO) nota, não existe um sintagma pronominal. o jeito é manter o NP msm,
POSSP, NP,  # Possessivos (TODO) nota, não ocorre,
PPA, VBN,  # Particípios passados que não formam tempos compostos,
P, IN,  # Preposição,
P', PP,  # Sintagmas Preposicionais,
PP, PP,  # Sintagmas Preposicionais,
PPT, VBN,  # Particípios passados em tempos compostos,
PERCENT, NN,  # simbolo percentual nota, pode ser pronome + substantivo tbm ('por cento'), guia oficial diz 'LDFR1…LDFRn'. , # nota2, PTB considera o % como NN (single noum) ,
PERCENT', NP,  # Sintagma percentual (TODO) nota, pode ser substituido por um termo so 'por cento',
PERCENTP, NP,  # Sintagma percentual (TODO) nota, ptb considera como NP,
PREP, IN,  # Preposições,
PRS, PRP,  # Pronomes Pessoais,
QNT, JJ,  # Quantificadores,
D1, DT,  # Quantificadores,
D2, JJ,  # Quantificadores,
QNT', ADJP,  # Quantificadores,
REL, PRP,  # Relativos,
S, S,  # Sentença,
STT, NN,  # Títulos Sociais,
SYB, SYM,  # Símbolos,
TERMN, SYM,  # Terminações Opcionais,
UM	, CD,  # um ou uma,
UNIT, NN,  # Unidade de Medida Abreviada,
VAUX, VB,  # Formas Finitas de ter ou haver em tempos compostos,
V, VB,  # Verbos (sem ser PPA, PPT, INF ou GER),
V', VP,  # Sintagma Verbal,
VP, VP,  # Sintagma Verbal,
WD, NNP,  # Dias da Semana,
